"listing_id","title","brand","condition","year","price_million_vnd","location","origin","color","fuel","engine_litre","transmission","seats","mileage_km","source_url"
"6974803","VinFast VF2 Eco - 2026","VinFast","mới","2026","175","TP HCM","lắp ráp trong nước","trắng","điện",,"tự động","4",,"https://bonbanh.com/oto/generic"
"6974767","VinFast VF3 Plus - 2025","VinFast","cũ","2025","239","Hải Phòng","lắp ráp trong nước","hồng","điện",,"tự động","4","20000","https://bonbanh.com/oto/generic"
"6974765","VinFast VF3 Plus - 2025","VinFast","cũ","2025","239","Hải Phòng","lắp ráp trong nước","hồng","điện",,"tự động","4","20000","https://bonbanh.com/oto/generic"
"6974760","Toyota Innova Cross HEV 2.0 CVT - 2025","Toyota","cũ","2025","945","Hà Nội","nhập khẩu","đen","hybrid","2","tự động","7","14000","https://bonbanh.com/oto/generic"
"6974754","Toyota Vios E 1.5 MT - 2022","Toyota","cũ","2022","325","Hà Nội","lắp ráp trong nước","đen","xăng","1.5","tay","5","20800","https://bonbanh.com/oto/generic"
"6974743","Mitsubishi Destinator Premium - 2026","Mitsubishi","mới","2026","702","TP HCM","nhập khẩu","trắng","xăng","1.5","tự động","7",,"https://bonbanh.com/oto/generic"
"6974731","Mazda 3 1.5L Luxury - 2019","Mazda","cũ","2019","420","Đồng Nai","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","55000","https://bonbanh.com/oto/generic"
"6974724","Mercedes Benz E class E300 AMG - 2026","Mercedes","mới","2026","3124","Hà Nội","lắp ráp trong nước","trắng","hybrid","2","tự động","5",,"https://bonbanh.com/oto/generic"
"6974702","LandRover Range Rover Evoque HSE - 2017","LandRover","cũ","2017","960","Hà Nội","nhập khẩu",,"xăng","2","tự động","5","63000","https://bonbanh.com/oto/generic"
"6974695","Ford Everest Titanium 2.0L 4x2 AT - 2025","Ford","cũ","2025","1195","Hà Nội","nhập khẩu","trắng","dầu","2","tự động","7","20000","https://bonbanh.com/oto/generic"
"6974688","Honda City 1.5 AT - 2016","Honda","cũ","2016","280","Hà Nội","lắp ráp trong nước","nâu","xăng","1.5","tự động","5","14000","https://bonbanh.com/oto/generic"
"6974682","Honda CRV L - 2020","Honda","cũ","2020","695","Hà Nội","lắp ráp trong nước","bạc","xăng","1.5","tự động","7","90000","https://bonbanh.com/oto/generic"
"6974680","Toyota Fortuner 2.4G 4x2 AT - 2020","Toyota","cũ","2020","795","TP HCM","lắp ráp trong nước","xám","dầu","2.4","tự động","7","80000","https://bonbanh.com/oto/toyota"
"6974676","Suzuki Fronx GLX Plus - 2026","Suzuki","mới","2026","590","Hà Nội","nhập khẩu","xanh","hybrid","1.5","tự động","5",,"https://bonbanh.com/oto/generic"
"6974669","Toyota Rush 1.5S AT - 2020","Toyota","cũ","2020","430","TP HCM","nhập khẩu","đỏ","xăng","1.5","tự động","7","41000","https://bonbanh.com/oto/generic"
"6974666","Mercedes Benz S class S450L - 2017","Mercedes","cũ","2017","1683","TP HCM","lắp ráp trong nước","đen","xăng","3","tự động","5","60000","https://bonbanh.com/oto/generic"
"6974665","Hyundai Universe Xpress Luxury 47c - 2016","Hyundai","cũ","2016","750","Hà Nội","lắp ráp trong nước","trắng","dầu",,"tay","47","200000","https://bonbanh.com/oto/generic"
"6974663","Suzuki Fronx GLX - 2025","Suzuki","mới","2025","514","Hà Nội","nhập khẩu","trắng","hybrid","1.5","tự động","5",,"https://bonbanh.com/oto/generic"
"6974655","Peugeot 5008 GT 1.6 AT - 2022","Peugeot","cũ","2022","780","Hà Nội","lắp ráp trong nước","đen","xăng","1.6","tự động","7","39000","https://bonbanh.com/oto/generic"
"6974649","Honda BR V L - 2024","Honda","cũ","2024","609","TP HCM","nhập khẩu","xám","xăng","1.5","tự động","7","3900","https://bonbanh.com/oto/honda"
"6974633","Toyota Camry 2.5 HEV Mid - 2025","Toyota","cũ","2025","1279","TP HCM","nhập khẩu","xám","hybrid","2.5","tự động","5","20000","https://bonbanh.com/oto/generic"
"6974628","Lexus LX 570 - 2008","Lexus","cũ","2008","1250","TP HCM","nhập khẩu","xám","xăng","5.7","tự động","7",,"https://bonbanh.com/oto/generic"
"6974614","Peugeot 3008 GT - 2025","Peugeot","cũ","2025","885","TP HCM","lắp ráp trong nước","trắng","xăng","1.6","tự động","5","9300","https://bonbanh.com/oto/peugeot"
"6974512","Ford Everest Platinum 2.0L 4x4 AT - 2025","Ford","cũ","2025","1430","Hà Nội","nhập khẩu","đen","dầu","2","tự động","7","15000","https://bonbanh.com/oto/generic"
"6974501","Toyota Raize G 1.0 CVT - 2025","Toyota","cũ","2025","493","Hà Nội","nhập khẩu","trắng","xăng","1","tự động","5","8000","https://bonbanh.com/oto/generic"
"6974496","Volkswagen Teramont Limited Edition 2.0 AT - 2023","Volkswagen","cũ","2023","1620","TP HCM","nhập khẩu","đỏ","xăng","2","tự động","7","15000","https://bonbanh.com/oto/generic"
"6974495","Mazda 6 2.5 AT - 2015","Mazda","cũ","2015","339","Hà Nội","lắp ráp trong nước","đen","xăng","2.5","tự động","5","90000","https://bonbanh.com/oto/generic"
"6974465","Volkswagen Viloran Luxury - 2024","Volkswagen","cũ","2024","1790","TP HCM","nhập khẩu","đỏ","xăng","2","tự động","7","43000","https://bonbanh.com/oto/generic"
"6974442","Toyota Land Cruiser VXR 4.0 V6 - 2022","Toyota","cũ","2022","4486","TP HCM","nhập khẩu","đen","xăng","4","tự động","7","58000","https://bonbanh.com/oto/generic"
"6974437","Volkswagen Viloran Luxury - 2024","Volkswagen","cũ","2024","1939","TP HCM","nhập khẩu","đen","xăng","2","tự động","7","28000","https://bonbanh.com/oto/generic"
"6974429","Ford Everest Wildtrak 2.0L 4x4 AT - 2023","Ford","cũ","2023","1175","TP HCM","nhập khẩu","đỏ","dầu","2","tự động","7","70000","https://bonbanh.com/oto/generic"
"6974405","Mazda CX5 Premium Exclusive 2.0 AT - 2023","Mazda","cũ","2023","758","TP HCM","lắp ráp trong nước","đỏ","xăng","2","tự động","5","1200","https://bonbanh.com/oto/generic"
